"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59"
"woman_Pt058_RPLCneg",-11.634,13.199,-4.7604,-16.413,-6.238,0.97171,-3.0931,-3.9049,-9.8241,10.075,-0.21036,-3.9131,1.5587,-0.75361,4.2731,4.5616,5.4173,0.41025,6.1116,-0.79488,0.59543,4.759,-4.3314,0.16987,-3.1846,-1.1996,9.0994,-3.1199,1.495,0.28548,1.6178,-0.97878,3.0308,1.9427,1.3306,0.23418,-0.25263,-4.4121,0.89448,0.37137,-0.25826,1.0936,0.87517,2.5948,1.8024,-3.7777,-0.032326,3.7498,1.4199,0.22658,0.52797,-0.7165,0.26431,-0.65494,-1.1191,0.792,-0.44422,-1.7135,-8.1046e-15
"woman_Pt070_RPLCneg",2.3825,2.5857,-10.685,-1.5769,-4.2151,-3.9692,-2.9105,-1.5889,-1.9929,-3.0822,3.6958,-4.2879,-1.7593,-0.048701,0.91341,-1.2502,-0.68558,-1.5976,1.0113,-1.3265,-0.29833,0.58725,-0.58024,-0.20131,1.0505,-1.0915,1.9415,-2.6139,-0.40324,1.8387,0.23602,-1.8167,-0.71469,-1.0329,-3.4784,1.921,1.0091,-0.29504,0.41727,-1.061,2.3137,-0.46857,1.6265,2.6811,2.6246,-2.5365,-0.26228,-2.3852,-3.1723,0.087261,-2.6822,3.2894,3.9232,0.39683,3.0659,0.2693,4.7278,5.6288,7.3552e-16
"woman_Pt085_RPLCneg",-6.6484,-30.549,-1.715,-3.6957,-7.3748,-5.8165,-2.798,-4.9559,1.1864,-1.1975,1.3719,1.8875,0.24115,2.6439,-5.7183,0.34282,0.075228,2.9893,-3.0994,5.9973,1.1878,5.6277,5.5992,-2.1831,2.3708,-6.341,2.3608,0.20379,-0.71647,-3.2107,-4.4296,3.4069,-2.0447,-0.18518,2.4191,4.8658,3.1615,0.3354,0.49541,3.2809,4.3351,3.6756,2.5675,-0.15257,2.8373,2.9667,-1.3498,2.242,0.13134,0.28894,-0.88612,0.25368,-1.252,-0.59991,-0.10914,0.79893,-0.80709,0.15762,-1.674e-15
"woman_Pt086_RPLCneg",-22.756,3.1453,2.1375,-7.3074,1.2807,-6.0533,2.9568,4.3083,8.8628,0.51855,3.8683,-1.4056,-5.256,-5.3278,1.3626,0.068517,1.9843,-6.0574,5.6823,2.5912,-0.61309,-4.5722,0.27912,2.9602,1.9187,-0.18545,2.7923,2.5506,4.0388,5.38,0.035054,-3.3307,1.6305,1.1423,2.1824,-1.1299,0.90844,5.9385,-0.43611,3.507,-1.9423,5.1515,3.2989,-3.1289,-0.18616,-1.5135,-0.97012,-0.8542,-0.60385,0.931,-1.5885,0.29775,-2.8639,0.93815,-1.5765,-0.034,-0.38646,1.3804,-1.4239e-14
"woman_Pt087_RPLCneg",-14.851,-3.0474,2.0673,1.7185,-5.5847,-6.3634,-0.75793,1.7784,1.8831,-2.2632,4.6198,-0.67021,-10.804,-10.665,2.6353,-1.5938,8.1499,-2.3441,4.725,5.4599,1.459,-3.3597,2.8434,-1.4656,-2.1399,4.5215,-1.4466,-3.3941,-1.3943,-0.98205,-2.3872,2.7099,2.7554,-5.193,-1.9996,2.2825,0.73724,-0.5949,0.86384,1.1441,4.1469,-5.1796,-2.68,-0.714,-1.0869,0.53131,-0.6439,0.48073,1.5609,-1.4892,0.42806,-0.10191,1.5125,-0.12587,-0.81055,-1.1479,0.23125,-1.7158,-1.8908e-16
"woman_Pt092_RPLCneg",1.6224,-10.361,-8.2728,-6.2612,-2.7492,-3.4591,-1.4573,5.0761,-0.97715,0.2816,-1.2569,-0.62269,-3.2358,3.8928,-0.49976,-4.9684,1.3496,3.0748,-0.59885,-7.7548,4.4791,-6.1769,0.95398,3.779,5.8745,2.3376,1.4646,3.0157,7.9721,-0.39392,-2.6597,2.965,-1.6915,0.32195,3.0982,-0.66826,0.64286,-4.8651,-2.7432,-3.7585,3.8692,-0.22589,-3.7084,0.532,0.42207,-1.373,-0.32547,-0.22623,1.4912,0.46024,-0.041736,-0.89076,-2.5606,2.5326,-0.79933,1.1849,0.70407,0.9007,-1.0339e-15
"woman_Pt105_RPLCneg",-5.19,-32.316,-4.493,4.8053,-17.887,-4.9234,1.9667,5.6229,5.6878,3.8847,2.1604,6.4611,-5.8516,7.3271,8.418,1.0383,-2.7656,0.72991,-9.6129,3.5742,5.2978,0.35499,-5.6815,-0.00070705,-4.343,2.262,1.7155,-0.84288,-3.7944,4.1086,0.33764,-3.4846,-0.47158,1.2948,1.8889,-0.48506,-1.9874,0.47333,-1.6187,-0.88865,-1.7746,-1.1884,-1.6962,-0.73707,0.35327,0.63219,1.5417,0.90665,0.51306,0.49905,-0.48757,0.38202,-0.31825,-1.1411,-0.83543,0.1354,1.1584,0.18703,-2.2343e-15
"woman_Pt113_RPLCneg",-15.603,-6.0446,-10.079,-12.044,0.72365,-7.7641,-2.7034,9.1398,2.1456,8.9858,7.3173,-0.29115,3.276,-1.1816,-10.764,2.7201,-8.7305,7.8578,7.8543,0.58897,4.6728,-4.6006,-2.0091,-7.1811,-0.27874,2.7811,-1.5406,1.1971,0.070426,-2.9937,1.9777,-0.93893,-2.5942,1.2066,-0.090203,1.741,-2.2811,0.32932,0.85892,0.11999,-2.434,-2.4403,1.2003,-0.49801,-1.1049,0.36122,-0.81204,0.86072,-0.81629,0.37206,1.1873,0.67483,0.39972,-0.3333,1.098,0.01584,0.24395,-0.17301,-1.0459e-14
"woman_Pt119_RPLCneg",-36.332,15.651,8.0361,-18.832,-5.0565,10.291,-7.8353,-9.563,3.9431,5.2329,3.4482,-1.3617,4.9894,6.0201,0.5977,-4.6312,5.9363,7.4931,-2.6304,2.3816,0.37706,-0.48788,3.6366,5.1929,3.17,-1.0634,0.72895,4.7021,-3.9041,2.6513,4.038,1.5165,-0.97977,-3.5195,-1.6092,-0.056657,-1.4236,2.1944,0.14289,0.10931,-0.61163,-1.7525,-2.19,-1.399,-1.6068,-0.48163,0.37927,-1.5378,-1.1233,-1.8068,0.27228,-0.034605,-0.70746,-1.0694,1.2792,-0.28175,0.041122,0.16673,-3.0469e-14
"woman_Pt122_RPLCneg",10.14,-3.4445,-9.9158,3.6696,3.9358,1.7806,-5.5558,4.3098,-3.9814,-4.4581,4.1668,0.71634,-3.2296,1.3659,0.28546,-8.3437,3.5544,1.5931,-1.2181,-3.4345,-2.7042,1.276,-1.7696,3.5084,-2.5465,4.5793,2.4751,2.9936,0.64125,0.53392,-0.30989,0.028881,-1.0707,5.0126,-3.1666,4.7786,3.3891,-3.6268,0.75543,4.6092,-3.0665,-2.7811,5.7292,-1.7281,-1.5195,2.1213,1.7386,-2.0691,1.7805,-0.94919,0.11264,-2.2408,-0.26163,-1.9534,1.0356,0.92397,-0.91462,0.38854,-1.1727e-15
